iter	RMSE
0	16317.0038
1	15020.43674
2	13762.38182
3	12588.05887
4	11544.76978
5	10650.3427
6	9854.919523
7	9085.10413
8	8402.792339
9	7789.881918
10	7245.877662
11	6723.563908
12	6217.288749
13	5760.765146
14	5342.165842
15	4967.995893
16	4603.258897
17	4256.811185
18	3946.483296
19	3661.179778
20	3404.623581
21	3174.138793
22	2974.725116
23	2792.53804
24	2620.395293
25	2465.813893
26	2316.268819
27	2186.530975
28	2075.231256
29	1957.358771
30	1854.80829
31	1760.471313
32	1666.378059
33	1593.242233
34	1521.353489
35	1457.136184
36	1398.995898
37	1347.014848
38	1294.865768
39	1250.619226
40	1213.332055
41	1180.075575
42	1147.489466
43	1122.456453
44	1097.054979
45	1074.319456
46	1053.460766
47	1034.067167
48	1011.849148
49	989.7988038
50	970.8226048
51	957.3079828
52	943.4046487
53	932.9346335
54	923.5290595
55	910.3703544
56	895.8329797
57	881.2166145
58	870.7522783
59	858.9973192
60	848.4944622
61	841.9075224
62	836.2809165
63	824.569409
64	813.3869919
65	809.1322123
66	807.2217226
67	803.3081162
68	798.667336
69	797.101984
70	792.4474199
71	788.0625358
72	785.2614543
73	776.6961114
74	774.9594278
75	773.1119884
76	764.8515499
77	758.5305196
78	756.9902191
79	755.4481977
80	749.6122924
81	745.752198
82	737.3425779
83	735.723247
84	734.264535
85	732.8806489
86	723.2334567
87	720.8434773
88	719.4299286
89	717.9467939
90	716.7696209
91	709.2234398
92	700.4032442
93	690.7436402
94	689.4799021
95	688.2127672
96	685.8502357
97	684.7823019
98	683.7487817
99	682.7544105
