iter	Passed	Remaining
0	7	700
1	13	652
2	18	612
3	24	597
4	30	581
5	36	567
6	41	555
7	47	548
8	53	540
9	59	532
10	64	525
11	71	521
12	77	516
13	83	510
14	89	505
15	95	499
16	100	491
17	106	487
18	113	483
19	120	480
20	126	475
21	132	470
22	138	463
23	144	459
24	151	453
25	157	448
26	163	442
27	169	437
28	175	429
29	181	424
30	187	418
31	194	412
32	201	408
33	207	402
34	213	395
35	219	389
36	225	384
37	231	378
38	238	373
39	244	367
40	251	361
41	257	355
42	263	349
43	270	343
44	276	337
45	282	331
46	289	326
47	295	320
48	302	314
49	308	308
50	315	303
51	322	297
52	328	291
53	334	285
54	341	279
55	347	272
56	353	266
57	360	260
58	366	254
59	373	249
60	380	242
61	386	237
62	393	230
63	399	224
64	405	218
65	411	211
66	418	205
67	424	199
68	430	193
69	436	187
70	442	180
71	448	174
72	455	168
73	461	162
74	466	155
75	472	149
76	479	143
77	485	136
78	491	130
79	497	124
80	504	118
81	510	112
82	516	105
83	522	99
84	529	93
85	535	87
86	541	80
87	548	74
88	553	68
89	559	62
90	564	55
91	570	49
92	576	43
93	583	37
94	589	31
95	595	24
96	601	18
97	607	12
98	614	6
99	620	0
